FIPS_code,Area_name,Population,PopDensity
66846,Conway County,20906,14.61617031
66847,Craighead County,105701,57.70123977
69161,Crawford County,62472,40.79968711
69162,Crittenden County,49013,31.00606806
66848,Cross County,16998,10.64756188
66849,Dallas County,7432,4.299625822
66850,Desha County,11887,5.974983295
66851,Drew County,18502,8.623895565
66852,Faulkner County,122416,72.94679147
66853,Franklin County,17780,11.27518456
66854,Fulton County,12139,7.581608118
66855,Garland County,98296,55.99985179
66856,Grant County,18086,11.05241582
66857,Greene County,44623,29.82410541
66858,Hempstead County,22018,11.68517302
66859,Hot Spring County,33520,21.03703075
66872,Howard County,13389,8.78324092
69163,Independence County,37264,18.83321817
66860,Izard County,13559,9.017189389
66861,Jackson County,17225,10.49119353
66862,Jefferson County,70424,31.2545148
66863,Johnson County,26291,15.38292036
66864,Lafayette County,6915,5.053796893
66865,Lawrence County,16669,10.95289483
66866,Lee County,9398,6.021341533
66873,Lincoln County,13695,9.416005919
66874,Little River County,12417,9.007542588
82850,Logan County,21757,11.86296384
69164,Lonoke County,72206,36.16397177
69165,Madison County,16076,7.440154385
69898,Marion County,16438,10.63184711
69166,Miller County,43759,27.00125271
69899,Mississippi County,42831,18.36285781
69167,Monroe County,7249,4.609912671
69168,Montgomery County,8993,4.452369013
69169,Nevada County,8440,5.274363826
69900,Newton County,7848,3.691189254
69170,Ouachita County,24106,12.70141532
69171,Perry County,10322,7.22554351
69172,Phillips County,19034,10.56464774
69173,Pike County,10808,6.947737181
69174,Poinsett County,24054,12.24652429
69175,Polk County,20163,9.076778703
69901,Pope County,63644,30.24304863
69176,Prairie County,8244,4.912934335
69177,Pulaski County,393463,200.1765891
69178,Randolph County,17603,10.42059243
83331,St. Francis County,26294,15.99262769
67102,Saline County,118009,62.97248504
69179,Scott County,10442,4.518266116
69180,Searcy County,7923,4.592572331
69181,Sebastian County,127461,92.52384261
69182,Sevier County,17193,11.74641335
69183,Sharp County,17043,10.88689047
69902,Stone County,12446,7.924463969
69903,Union County,39732,14.76172209
69904,Van Buren County,16684,9.076268141
69905,Washington County,228529,93.66695805
69906,White County,78804,29.39513161
69907,Woodruff County,6660,4.382376797
69908,Yell County,21573,8.954998447
1675839,Alameda County,1643700,860.7570749
1675840,Alpine County,1146,0.599280666
1675841,Amador County,37829,24.56534526
1675842,Butte County,227075,53.57515906
1675885,Calaveras County,45235,17.12260581
1675902,Colusa County,21464,7.201880119
1675903,Contra Costa County,1133247,610.1802904
1682074,Del Norte County,27424,10.52293111
277273,El Dorado County,186661,42.19958001
277274,Fresno County,978130,63.38567736
277275,Glenn County,27897,8.197380559
1681908,Humboldt County,135768,14.69107797
277277,Imperial County,180216,16.65999073
1804637,Inyo County,18085,0.685856011
2054176,Kern County,883053,41.92545231
277280,Kings County,150075,41.67726795
277281,Lake County,64148,19.71137641
1693324,Lassen County,31185,2.651421461
277283,Los Angeles County,10098052,960.7427779
277284,Madera County,155013,28.00789771
277285,Marin County,260295,193.1005061
277286,Mariposa County,17540,4.674251881
277287,Mendocino County,87422,9.626461049
277288,Merced County,269075,53.67222176
277289,Modoc County,8938,0.881376109
277290,Mono County,14174,1.794895517
277291,Monterey County,433212,50.96841445
277292,Napa County,140530,72.50862772
1682927,Nevada County,99092,39.9469912
277294,Orange County,3164182,1541.02667
277295,Placer County,380077,104.2928314
277296,Plumas County,18699,2.827868464
277297,Riverside County,2383286,127.6881106
277298,Sacramento County,1510023,603.8906191
277299,San Benito County,59416,16.52008807
277300,San Bernardino County,2135413,41.10128555
277301,San Diego County,3302833,302.9941503
277302,San Francisco County,870044,7168.190471
277303,San Joaquin County,732212,203.0389818
277304,San Luis Obispo County,281455,32.9240586
277305,San Mateo County,765935,659.1746544
277306,Santa Barbara County,443738,62.63967412
277307,Santa Clara County,1922200,574.8383699
277308,Santa Cruz County,273765,237.464658
1682610,Shasta County,179085,18.31466417
277310,Sierra County,2930,1.186862083
277311,Siskiyou County,43540,2.677418441
277312,Solano County,438530,206.0444057
1657246,Sonoma County,501317,122.8269245
277314,Stanislaus County,539301,139.1865627
277315,Sutter County,95872,61.43488729
1692767,Tehama County,63373,8.296818814
277317,Trinity County,12862,1.562009465
277318,Tulare County,460477,36.85265632
277319,Tuolumne County,53932,9.376087587
277320,Ventura County,848112,177.7279193
277321,Yolo County,214977,81.79800558
277322,Yuba County,75493,46.11910409
198116,Adams County,497115,164.5753082
198117,Alamosa County,16444,8.78669511
198118,Arapahoe County,636671,308.0717154
198119,Archuleta County,12908,3.691471259
198120,Baca County,3563,0.538428946
198121,Bent County,5809,1.482547663
198122,Boulder County,321030,170.6435299
1945881,Broomfield County,66120,773.5251676
198123,Chaffee County,19164,7.301362223
198124,Cheyenne County,2039,0.442710949
198125,Clear Creek County,9379,9.163100806
198126,Conejos County,8142,2.441785257
198127,Costilla County,3687,1.159633689
198128,Crowley County,5630,2.760578135
198129,Custer County,4640,2.42546915
198130,Delta County,30346,10.25862867
198131,Denver County,693417,1746.533667
198132,Dolores County,1841,0.666073672
198133,Douglas County,328614,151.0009727
198134,Eagle County,54357,12.45931034
198136,Elbert County,25162,5.249033937
198135,El Paso County,688153,124.925569
198137,Fremont County,47002,11.83731376
198138,Garfield County,58538,7.667957958
198139,Gilpin County,5924,15.2590355
198140,Grand County,15066,3.150392993
198141,Gunnison County,16537,1.971192463
198142,Hinsdale County,878,0.303426738
198143,Huerfano County,6583,1.597522272
198144,Jackson County,1296,0.310082694
198145,Jefferson County,570427,288.1670164
198146,Kiowa County,1449,0.316472037
198147,Kit Carson County,7635,1.364245023
198149,Lake County,7585,7.769797883
198148,La Plata County,55101,12.59013432
198150,Larimer County,338161,50.29906087
198151,Las Animas County,14179,1.146996368
198152,Lincoln County,5548,0.831016797
198153,Logan County,21689,4.554648651
198154,Mesa County,149998,17.39732685
198155,Mineral County,823,0.36284133
198156,Moffat County,13060,1.063089924
198157,Montezuma County,25909,4.929472968
198158,Montrose County,41268,7.110239919
198159,Morgan County,28257,8.520276893
198160,Otero County,18325,5.606676985
198161,Ouray County,4722,3.366318394
198162,Park County,17392,3.060796323
198163,Phillips County,4318,2.42349412
198164,Pitkin County,17909,7.123409994
198165,Prowers County,12052,2.840156146
198166,Pueblo County,164685,26.6484169
198167,Rio Blanco County,6465,0.774968455
198168,Rio Grande County,11351,4.805762482
198169,Routt County,24874,4.065971747
198170,Saguache County,6468,0.78815115
198171,San Juan County,544,0.542015888
198172,San Miguel County,7968,2.390921614
198173,Sedgwick County,2350,1.655606826
198174,Summit County,30429,19.31275691
198175,Teller County,24113,16.71340388
198176,Washington County,4840,0.742125633
198177,Weld County,295123,28.58676378
198178,Yuma County,10069,1.644250309
212794,Fairfield County,944348,583.4165304
212338,Hartford County,894730,470.033815
212796,Litchfield County,183031,76.77098216
212797,Middlesex County,163368,170.7988153
212798,New Haven County,859339,548.8569872
212799,New London County,268881,156.0796361
212668,Tolland County,151269,142.3296361
212801,Windham County,116538,87.72291173
217271,Kent County,174822,115.2242931
217270,New Castle County,555133,502.7696186
217269,Sussex County,219540,90.54899837
1702382,District of Columbia,684498,4322.952569
308548,Alachua County,263148,116.1122104
306920,Baker County,27785,18.33099273
295738,Bay County,182482,92.88574252
303634,Bradford County,26979,35.43517528
295749,Brevard County,576808,219.3764634
295753,Broward County,1909151,612.6877168
306919,Calhoun County,14444,9.829928189
295742,Charlotte County,176954,100.3107253
295752,Citrus County,143087,94.93927794
295726,Clay County,207291,132.3380171
295754,Collier County,363922,70.38522842
306909,Columbia County,69105,33.45442557
294452,DeSoto County,36399,22.07300896
295725,Dixie County,16437,9.000593262
293656,Duval County,924229,467.7286986
295737,Escambia County,311522,183.0818998
308547,Flagler County,107139,85.26646662
306911,Franklin County,11736,8.312154044
306918,Gadsden County,46017,34.41309565
303633,Gilchrist County,17615,19.44892619
295743,Glades County,13363,6.396443472
306917,Gulf County,16055,11.20100125
295736,Hamilton County,14269,10.72301185
295746,Hardee County,27228,16.48852955
307626,Hendry County,40127,13.3997
295751,Hernando County,182696,149.2023044
295756,Highlands County,102101,38.75140638
295757,Hillsborough County,1378883,521.0066098
295735,Holmes County,19430,15.66641222
307624,Indian River County,150984,115.9449839
295734,Jackson County,48472,20.38294824
295733,Jefferson County,14105,9.105798596
295732,Lafayette County,8744,6.213187459
308551,Lake County,335362,136.1988861
295758,Lee County,718679,354.8307687
306916,Leon County,288102,166.8139264
295724,Levy County,39961,13.79768236
308549,Liberty County,8365,3.865349802
295731,Madison County,18474,10.24056807
295744,Manatee County,373853,194.2390085
306922,Marion County,348371,84.68030731
308550,Martin County,157581,111.8867742
295755,Miami-Dade County,2715516,552.1870708
295759,Monroe County,76325,29.97806808
295730,Nassau County,80578,47.960964
306915,Okaloosa County,200737,83.31780277
295760,Okeechobee County,40572,20.37434037
295750,Orange County,1321194,565.2007179
295748,Osceola County,338619,98.47136801
295761,Palm Beach County,1446277,284.088504
295739,Pasco County,510593,264.0275519
295745,Pinellas County,957875,1351.009895
295747,Polk County,668671,143.6573523
306910,Putnam County,72766,38.59923128
308371,St. Johns County,235503,151.366953
308372,St. Lucie County,305591,206.3889596
306914,Santa Rosa County,170442,65.00332156
295741,Sarasota County,412144,285.7580921
303665,Seminole County,455086,567.9030651
295740,Sumter County,120999,83.85731716
295729,Suwannee County,43924,24.63015902
295728,Taylor County,22098,8.177839655
306913,Union County,15239,24.1579477
306921,Volusia County,527634,184.9915148
306912,Wakulla County,31877,20.2958573
295727,Walton County,65858,24.50311443
295762,Washington County,24566,16.22262188
349113,Appling County,18454,14.01828756
345784,Atkinson County,8265,9.311240898
344784,Bacon County,11228,15.26007768
342832,Baker County,3189,3.600682675
345255,Baldwin County,45286,67.58826619
349230,Banks County,18510,30.7975219
356976,Barrow County,76887,184.3449202
351604,Bartow County,103620,87.06431394
351606,Ben Hill County,17154,26.47984793
326638,Berrien County,19025,16.20197066
1672039,Bibb County,153490,237.6230669
347451,Bleckley County,12775,22.84919033
351605,Brantley County,18561,16.17660577
345518,Brooks County,15622,12.23231715
350496,Bryan County,35885,31.66554713
350302,Bulloch County,74782,42.71567016
347944,Burke County,22550,10.52749269
352295,Butts County,23750,49.92067542
344074,Calhoun County,6428,8.851659627
1671316,Camden County,52714,32.29088126
342852,Candler County,10827,17.19879927
326650,Carroll County,116022,89.76724683
353230,Catoosa County,66299,157.855196
357747,Charlton County,12983,6.425905488
1694477,Chatham County,287049,255.8861832
351012,Chattahoochee County,10767,16.71307246
352213,Chattooga County,24817,30.5811718
1685718,Cherokee County,241910,221.8137088
1672699,Clarke County,124602,403.5373333
344805,Clay County,3001,5.92972984
1672399,Clayton County,278666,759.4524648
351285,Clinch County,6743,3.194479252
1686112,Cobb County,745057,846.6897774
347456,Coffee County,42961,28.0050694
343936,Colquitt County,45606,32.18979963
348865,Columbia County,147295,196.0552786
343878,Cook County,17184,29.06445414
326666,Coweta County,140516,123.0428652
342918,Crawford County,12344,14.66866007
351607,Crisp County,22846,32.35111079
347465,Dade County,16227,36.01155909
351312,Dawson County,23861,43.69808396
352234,Decatur County,26833,17.34890996
1687424,DeKalb County,743187,1071.792083
348116,Dodge County,20919,16.28549963
351608,Dooly County,13905,13.67379756
351259,Dougherty County,91049,106.9675386
1686467,Douglas County,141840,273.6920768
345041,Early County,10348,7.794360252
348092,Echols County,3994,3.668091972
350219,Effingham County,58689,47.32731502
347828,Elbert County,19212,21.12744236
347508,Emanuel County,22499,12.76414276
345923,Evans County,10727,22.64537743
351094,Fannin County,24925,24.86526439
1687740,Fayette County,111369,221.2247862
353665,Floyd County,96824,73.327379
1673358,Forsyth County,219880,378.0699634
349324,Franklin County,22514,33.23399178
1694833,Fulton County,1021902,749.0585218
351260,Gilmer County,29922,27.10603808
345642,Glascock County,3009,8.082208149
1671513,Glynn County,83974,77.27916697
356672,Gordon County,56790,61.62118087
351261,Grady County,24926,21.17483154
348672,Greene County,16976,16.90816692
1688166,Gwinnett County,902298,809.1434093
351383,Habersham County,44289,61.77157867
1686953,Hall County,195961,192.5293528
348209,Hancock County,8535,6.995568868
350637,Haralson County,28956,39.6220831
326700,Harris County,33590,27.95999603
1687995,Hart County,25631,42.57866856
347067,Heard County,11677,15.23138636
1671894,Henry County,221307,268.1545574
1671693,Houston County,151682,155.7337104
352302,Irwin County,9268,10.09811305
349570,Jackson County,65755,74.74438404
346144,Jasper County,13784,14.44602729
1687999,Jeff Davis County,14991,17.49091774
345714,Jefferson County,15772,11.56507965
342985,Jenkins County,8827,9.812495124
346664,Johnson County,9730,12.39782262
345367,Jones County,28548,27.98010351
326713,Lamar County,18513,38.95305074
348102,Lanier County,10366,20.36437069
346568,Laurens County,47418,22.6783855
343390,Lee County,29348,31.84009173
357095,Liberty County,62108,46.43059823
1688000,Lincoln County,7799,14.31311751
326719,Long County,18156,17.50796876
326720,Lowndes County,114582,88.98728352
357196,Lumpkin County,31951,43.60027534
348794,McDuffie County,21498,32.23819688
356886,McIntosh County,14120,12.63872337
346957,Macon County,13480,12.99014252
1688004,Madison County,28900,39.52268532
344107,Marion County,8484,8.9495611
346892,Meriwether County,21113,16.26375695
344088,Miller County,5836,7.978434865
343645,Mitchell County,22432,16.91088273
343073,Monroe County,27010,26.32880923
352276,Montgomery County,9036,14.46771444
346008,Morgan County,18235,20.26622642
1688005,Murray County,39557,44.33472499
357428,Muscogee County,196670,350.8393599
1673547,Newton County,106497,150.205821
356774,Oconee County,37017,77.53671083
351262,Oglethorpe County,14784,13.00073608
349912,Paulding County,155840,192.6729203
343153,Peach County,26966,69.28779256
1673011,Pickens County,30832,51.29878159
349086,Pierce County,19164,21.73383004
346482,Pike County,18082,32.30892798
343585,Polk County,41621,51.78338682
347593,Pulaski County,11295,17.49578798
347246,Putnam County,21503,24.08701172
350547,Quitman County,2276,5.810523669
351489,Rabun County,16457,17.16668982
352242,Randolph County,7087,6.389714553
358024,Richmond County,201463,239.8436152
357592,Rockdale County,89011,264.7460085
344129,Schley County,5211,12.05448566
350204,Screven County,13990,8.364521574
351263,Seminole County,8437,13.71390191
353055,Spalding County,64719,127.5010942
350028,Stephens County,25676,55.33657684
347360,Stewart County,6042,5.085203438
343504,Sumter County,30352,24.26936641
326757,Talbot County,6378,6.292033252
347654,Taliaferro County,1665,3.303368003
347445,Tattnall County,25353,20.35864747
344156,Taylor County,8193,8.397803352
356958,Telfair County,16115,14.22805918
352238,Terrell County,8859,10.18791475
343835,Thomas County,44730,31.7114458
344090,Tift County,40510,59.94980729
345220,Toombs County,27048,28.68971257
351252,Towns County,11417,26.48100906
347505,Treutlen County,6777,13.12026026
1673298,Troup County,69774,65.07102644
343238,Turner County,7962,10.77078095
345456,Twiggs County,8284,8.902957893
353193,Union County,22775,27.30169352
346759,Upson County,26216,31.29241612
354216,Walker County,68824,59.52885189
351264,Walton County,90132,106.4910448
357722,Ware County,35599,15.28610844
347777,Warren County,5346,7.258817371
348428,Washington County,20461,11.64315277
350608,Wayne County,29767,17.90377435
352287,Webster County,2613,4.818979543
351278,Wheeler County,7939,10.3735147
326781,White County,28928,46.39448436
353513,Whitfield County,103849,138.0549123
345499,Wilcox County,8846,9.04013343
351265,Wilkes County,9884,8.128280055
346824,Wilkinson County,9078,7.802589675
343365,Worth County,20656,13.97434093
365280,Hawaii County,197658,18.94430327
365281,Honolulu County,987638,634.9517851
1702380,Kalawao County,75,2.414867625
365282,Kauai County,71377,44.45801384
365283,Maui County,165281,54.94076903
395066,Ada County,446052,163.7075373
395067,Adams County,4019,1.138640153
395091,Bannock County,85065,29.5228912
395090,Bear Lake County,5962,2.359204372
395190,Benewah County,9086,4.515359408
400593,Bingham County,45551,8.399768947
395696,Blaine County,21994,3.219398972
395157,Boise County,7163,1.455945665
395158,Bonner County,42711,9.514596564
395407,Bonneville County,112397,23.25677336
395159,Boundary County,11549,3.514744341
401703,Butte County,2602,0.44920357
399408,Camas County,886,0.318446855
399406,Canyon County,212230,139.5848719
395406,Caribou County,6918,1.514037097
395698,Cassia County,23615,3.553855593
399755,Clark County,1077,0.235846759
395697,Clearwater County,8640,1.357548779
399758,Custer County,4141,0.324825617
400252,Elmore County,26433,3.318886841
395585,Franklin County,13279,7.732887224
395408,Fremont County,12965,2.685581046
395442,Gem County,17052,11.76165012
395441,Gooding County,15169,8.030460038
395699,Idaho County,16337,0.744058927
399751,Jefferson County,27969,9.873907162
395662,Jerome County,23431,15.14174383
395661,Kootenai County,153605,47.91421073
395613,Latah County,39239,14.08190883
399754,Lemhi County,7798,0.659734273
395622,Lewis County,3845,3.100451505
395624,Lincoln County,5321,1.710098036
394803,Madison County,38705,31.84557978
394807,Minidoka County,20615,10.51458226
399394,Nez Perce County,40155,18.27603307
399759,Oneida County,4326,1.39311591
399760,Owyhee County,11455,0.576771202
394896,Payette County,23041,21.86372277
394951,Power County,7713,2.12134991
1702379,Shoshone County,12526,1.833726538
399297,Teton County,11080,9.525938818
399334,Twin Falls County,83666,16.80980654
399756,Valley County,10401,1.09569475
399757,Washington County,10025,2.664189578
424202,Adams County,66427,29.99225904
424203,Alexander County,6532,10.7082503
424204,Bond County,16712,16.96523477
424205,Boone County,53606,73.71852195
424206,Brown County,6675,8.431176356
424207,Bureau County,33381,14.82995898
424208,Calhoun County,4858,7.389684233
424209,Carroll County,14562,12.63341931
424210,Cass County,12665,13.01388792
424211,Champaign County,209448,81.18425593
424212,Christian County,33231,18.08415147
424213,Clark County,15836,12.1937788
424214,Clay County,13338,10.99754848
424215,Clinton County,37628,30.65007094
424216,Coles County,51736,39.29935727
1784766,Cook County,5223719,2134.420727
424218,Crawford County,19088,16.61337463
424219,Cumberland County,10865,12.12707605
422190,DeKalb County,104200,63.72410485
426598,De Witt County,16042,15.57998011
424222,Douglas County,19714,18.26796996
422191,DuPage County,931743,1097.706801
424224,Edgar County,17539,10.86302996
424225,Edwards County,6507,11.29565936
424226,Effingham County,34174,27.56033687
424227,Fayette County,21724,11.70653283
424228,Ford County,13398,10.65286252
424229,Franklin County,39127,36.94368005
424230,Fulton County,35418,15.79639524
424231,Gallatin County,5157,6.164676977
424232,Greene County,13218,9.398361553
424233,Grundy County,50509,46.64480696
424234,Hamilton County,8221,7.303033893
424235,Hancock County,18112,8.810529687
424236,Hardin County,4009,8.721837437
424237,Henderson County,6884,7.016907047
424238,Henry County,49464,23.20555427
424239,Iroquois County,28169,9.733358959
424240,Jackson County,58551,38.70528382
424241,Jasper County,9598,7.492328536
424242,Jefferson County,38169,25.79999368
424243,Jersey County,22069,23.07397937
424244,Jo Daviess County,21834,14.02907606
424245,Johnson County,12602,14.14742746
424246,Kane County,530839,394.6365022
424247,Kankakee County,111061,63.38660191
424248,Kendall County,124626,150.2481058
424249,Knox County,50999,27.48428763
1784796,Lake County,703619,611.9473932
422247,LaSalle County,110401,37.54987471
424252,Lawrence County,16189,16.79466841
424253,Lee County,34527,18.39148611
424254,Livingston County,36324,13.43849744
424255,Logan County,29207,18.24530364
1784729,McDonough County,30875,20.22523095
1784815,McHenry County,307789,196.9447844
1784833,McLean County,173219,56.52329122
424256,Macon County,106512,70.834027
424257,Macoupin County,45719,20.45636741
424258,Madison County,265670,143.2523604
424259,Marion County,38084,25.68659269
424260,Marshall County,11794,11.77202362
424261,Mason County,13778,9.864005992
1784730,Massac County,14430,23.48666437
424266,Menard County,12367,15.18551962
1784750,Mercer County,15693,10.79671493
1784865,Monroe County,33936,34.00712549
1784866,Montgomery County,29009,15.91758335
424270,Morgan County,34426,23.36849172
1784885,Moultrie County,14703,16.89759553
1784894,Ogle County,51328,26.1245481
1784920,Peoria County,184463,115.1201013
1784940,Perry County,21384,18.68972794
424275,Piatt County,16427,14.44259449
1784941,Pike County,15754,7.316126073
424277,Pope County,4249,4.448703804
1784966,Pulaski County,5611,10.8764031
424279,Putnam County,5746,13.85716437
1784967,Randolph County,32546,21.84206736
424281,Richland County,15881,17.0298773
424282,Rock Island County,145275,131.2377894
1784987,St. Clair County,263463,154.6589893
424283,Saline County,24231,24.62737221
1785010,Sangamon County,197661,87.89318766
1785037,Schuyler County,7064,6.237462724
424286,Scott County,5047,7.766273484
1785051,Shelby County,21832,11.11301667
424288,Stark County,5500,7.372807136
1785076,Stephenson County,45433,31.07125531
1785094,Tazewell County,133852,79.94877325
1785113,Union County,17127,15.99374516
1785114,Vermilion County,78407,33.70082419
424293,Wabash County,11573,20.0133439
1785134,Warren County,17338,12.34242775
1785150,Washington County,14155,9.714770175
424296,Wayne County,16487,8.916961044
424297,White County,14025,10.94427594
1785167,Whiteside County,56396,31.82333406
1785190,Will County,688697,318.1154816
1785215,Williamson County,67299,61.84074421
1785216,Winnebago County,286174,215.2923728
1785231,Woodford County,38817,28.39687664
450401,Adams County,35195,40.08179351
450402,Allen County,370016,217.3430355
451683,Bartholomew County,81893,77.70463936
450403,Benton County,8667,8.233768324
450404,Blackford County,12129,28.36798485
450405,Boone County,64321,58.72257117
451684,Brown County,15034,18.60542575
450406,Carroll County,19994,20.73948855
450339,Cass County,38084,35.67665338
450340,Clark County,115702,119.8157579
450341,Clay County,26268,28.36099234
450342,Clinton County,32301,30.78868401
451674,Crawford County,10581,13.36770047
450343,Daviess County,32937,29.60963487
450344,Dearborn County,49501,62.64777877
450345,Decatur County,26552,27.51656313
450346,DeKalb County,42704,45.44274523
450347,Delaware County,115616,113.8465819
451675,Dubois County,42418,38.33111647
450348,Elkhart County,203604,169.7260192
450349,Fayette County,23259,41.76501177
450350,Floyd County,76809,200.4267844
450351,Fountain County,16486,16.08752413
450352,Franklin County,22842,22.94131686
450353,Fulton County,20212,21.1833331
450354,Gibson County,33596,26.61237944
450355,Grant County,66944,62.42078621
451676,Greene County,32295,22.98602823
450356,Hamilton County,316095,309.5004043
450357,Hancock County,73830,93.1702752
451677,Harrison County,39712,31.64581592
450358,Hendricks County,160940,152.7163239
450359,Henry County,48483,47.76859054
450360,Howard County,82387,108.5658021
450361,Huntington County,36378,36.70626238
451678,Jackson County,43938,33.26551785
450494,Jasper County,33449,23.07748838
450362,Jay County,20993,21.11313165
450363,Jefferson County,32237,34.51373468
450364,Jennings County,27727,28.42732454
450365,Johnson County,151564,182.6191346
450366,Knox County,37409,27.99003863
450367,Kosciusko County,78806,57.25465489
450368,LaGrange County,38942,39.60594245
450495,Lake County,486849,376.8351487
450507,LaPorte County,110552,71.34668635
451703,Lawrence County,45619,39.21290011
450370,Madison County,129505,110.6436258
450371,Marion County,944523,919.8842006
450372,Marshall County,46595,40.55371396
451679,Martin County,10210,11.74081825
450373,Miami County,35901,37.07835076
451680,Monroe County,145403,142.2998736
450374,Montgomery County,38276,29.28470884
450375,Morgan County,69727,66.66490505
450376,Newton County,14018,13.47185339
450377,Noble County,47451,44.59381316
450378,Ohio County,5887,26.38409816
451681,Orange County,19547,18.94466405
450379,Owen County,20878,20.9216928
450380,Parke County,16996,14.7560218
451682,Perry County,19141,19.35977641
450381,Pike County,12411,14.33429022
